county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
San Bernardino,2016,1454,2.01,1520401,3.89,0,6,6,0,25500,25500
San Bernardino,2017,2076,2.24,1536517,3.91,0,6,6,0,25500,25500
San Bernardino,2018,3621,2.34,1554668,3.94,0,6,6,0,25500,25500
San Bernardino,2019,3887,2.66,1570918,3.97,5,6,11,10000,25500,35500
San Bernardino,2020,3946,2.74,1585666,4.01,5,9,14,10000,27000,37000
San Bernardino,2021,8355,3.38,1586031,4.03,7,9,16,10000,27000,37000
San Bernardino,2022,5652,3.56,2181654,5.52,7,7,14,10000,11500,21500
San Diego,2015,4824,7.54,59220,0.15,0,6,6,0,25500,25500
San Diego,2016,5218,7.2,60087,0.15,0,6,6,0,25500,25500
San Diego,2017,6453,6.96,60733,0.15,0,6,6,0,25500,25500
San Diego,2018,11768,7.6,61848,0.16,0,6,6,0,25500,25500
San Diego,2019,11114,7.6,63282,0.16,0,6,6,0,25500,25500
San Diego,2020,12219,8.5,64110,0.16,0,9,9,0,27000,27000
San Diego,2021,21630,8.75,64924,0.16,0,9,9,0,27000,27000
San Diego,2022,13596,8.56,3298634,8.34,0,7,7,0,11500,11500
San Francisco,2015,1711,2.67,2119575,5.45,1,6,7,5000,25500,30500
San Francisco,2016,1900,2.62,2132121,5.45,1,6,7,5000,25500,30500
San Francisco,2017,2363,2.55,2147291,5.46,1,6,7,5000,25500,30500
San Francisco,2018,4148,2.68,2160036,5.47,1,6,7,5000,25500,30500
San Francisco,2019,3773,2.58,2174437,5.5,3,6,9,14507,25500,40007
San Francisco,2020,4635,3.22,2181983,5.52,3,9,12,14507,27000,41507
San Francisco,2021,6812,2.75,2181258,5.54,3,9,12,14507,27000,41507
San Francisco,2022,3871,2.44,873965,2.21,3,7,10,14507,11500,26007
San Joaquin,2015,350,0.55,3248371,8.35,0,6,6,0,25500,25500
San Joaquin,2016,433,0.6,3263517,8.34,0,6,6,0,25500,25500
San Joaquin,2017,580,0.63,3276113,8.33,0,6,6,0,25500,25500
San Joaquin,2018,1160,0.75,3293350,8.34,0,6,6,0,25500,25500
San Joaquin,2019,1235,0.84,3294272,8.33,6,6,12,12500,25500,38000
San Joaquin,2020,1413,0.98,3303736,8.36,6,9,15,12500,27000,39500
