county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
Siskiyou,2015,7,0.01,180812,0.46,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Siskiyou,2016,6,0.01,180287,0.46,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Siskiyou,2017,14,0.02,181095,0.46,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Solano,2015,445,0.7,3213,0.01,2,6,8,5600,25500,31100,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Solano,2016,389,0.54,3220,0.01,2,6,8,5600,25500,31100,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Solano,2017,528,0.57,3233,0.01,2,6,8,5600,25500,31100,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Sonoma,2015,957,1.5,44655,0.11,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Sonoma,2016,997,1.38,44554,0.11,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Sonoma,2017,1595,1.72,44390,0.11,2,6,8,6000,25500,31500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Stanislaus,2015,205,0.32,435902,1.12,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Stanislaus,2016,252,0.35,441224,1.13,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Stanislaus,2017,299,0.32,445721,1.13,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Sutter,2015,23,0.04,500553,1.29,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Sutter,2016,14,0.02,501989,1.28,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Sutter,2017,30,0.03,501111,1.27,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Tehama,2015,4,0.01,535436,1.38,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Tehama,2016,5,0.01,540856,1.38,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Tehama,2017,7,0.01,546499,1.39,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
