Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Orange,PHEV,Porsche,Panamera,11,92610,Electric
2015,Orange,PHEV,Toyota,Prius PHEV,682,92612,Electric
2015,Orange,Hydrogen,Honda,FCX Clarity,2,92614,Electric
2015,Orange,Hydrogen,Hyundai,Tucson Fuel Cell,14,92617,Electric
2015,Orange,Hydrogen,Toyota,Mirai,10,92618,Electric
2015,Placer,Electric,BMW,i3,2,92620,Electric
2015,Placer,Electric,Chevrolet,Spark EV,34,92623,Electric
2015,Placer,Electric,FIAT,500e,61,92624,Electric
2015,Placer,Electric,Ford,Focus,14,92625,Electric
2015,Placer,Electric,Kia,Soul EV,2,92626,Electric
2015,Placer,Electric,Mercedes-Benz,B-Class,4,92627,Electric
2015,Placer,Electric,Nissan,Leaf,49,92629,Electric
2015,Placer,Electric,Smart,Fortwo Electric Drive,7,92630,Electric
2015,Placer,Electric,Tesla,Model S,99,92646,Electric
2015,Placer,Electric,Tesla,Model X,1,92647,Electric
2015,Placer,Electric,Toyota,RAV4 EV,2,92648,Electric
2015,Placer,Electric,Volkswagen,e-Golf,11,92649,Electric
2015,Placer,PHEV,BMW,i3 REx,23,92651,Electric
2015,Placer,PHEV,BMW,i8,1,92653,Electric
2015,Placer,PHEV,Cadillac,ELR,2,92656,Electric
2015,Placer,PHEV,Chevrolet,Volt,66,92657,Electric
2015,Placer,PHEV,Ford,C-MAX Energi,15,92660,Electric
2015,Placer,PHEV,Ford,Fusion Energi,38,92661,Electric
2015,Placer,PHEV,Honda,Accord PHEV,1,92662,Electric
2015,Placer,PHEV,Porsche,Cayenne,1,92663,Electric
2015,Placer,PHEV,Porsche,Panamera,1,92672,Electric
2015,Placer,PHEV,Toyota,Prius PHEV,22,92673,Electric
2015,Plumas,PHEV,Ford,Fusion Energi,1,92675,Electric
2015,Riverside,Electric,BMW,i3,17,92676,Electric
2015,Riverside,Electric,Chevrolet,Spark EV,42,92677,Electric
2015,Riverside,Electric,FIAT,500e,187,92679,Electric
2015,Riverside,Electric,Ford,Focus,13,92683,Electric
2015,Riverside,Electric,Kia,Soul EV,15,92688,Electric
2015,Riverside,Electric,Mercedes-Benz,B-Class,16,92691,Electric
2015,Riverside,Electric,Mitsubishi,i-MiEV,1,92692,Electric
2015,Riverside,Electric,Nissan,Leaf,85,92694,Electric
2015,Riverside,Electric,Smart,Fortwo Electric Drive,13,92701,Electric
2015,Riverside,Electric,Tesla,Model S,259,92704,Electric
2015,Riverside,Electric,Toyota,RAV4 EV,2,92705,Electric
2015,Riverside,Electric,Volkswagen,e-Golf,40,92706,Electric
2015,Riverside,PHEV,BMW,i3 REx,82,92707,Electric
2015,Riverside,PHEV,BMW,i8,14,92708,Electric
2015,Riverside,PHEV,BMW,X5,3,92780,Electric
2015,Riverside,PHEV,Cadillac,ELR,5,92782,Electric
2015,Riverside,PHEV,Chevrolet,Volt,230,92801,Electric
2015,Riverside,PHEV,Ford,C-MAX Energi,148,92802,Electric
2015,Riverside,PHEV,Ford,Fusion Energi,274,92804,Electric
2015,Riverside,PHEV,Honda,Accord PHEV,5,92805,Electric
2015,Riverside,PHEV,Hyundai,Sonata PHEV,1,92806,Electric
2015,Riverside,PHEV,Mercedes-Benz,S-Class,4,92807,Electric
2015,Riverside,PHEV,Porsche,Cayenne,4,92808,Electric
2015,Riverside,PHEV,Porsche,Panamera,1,92821,Electric
2015,Riverside,PHEV,Toyota,Prius PHEV,147,92831,Electric
2015,Sacramento,Electric,BMW,i3,10,92832,Electric
2015,Sacramento,Electric,Chevrolet,Spark EV,80,92833,Electric
2015,Sacramento,Electric,FIAT,500e,135,92835,Electric
2015,Sacramento,Electric,Ford,Focus,48,92840,Electric
2015,Sacramento,Electric,Honda,Fit EV,1,92841,Electric
2015,Sacramento,Electric,Kia,Soul EV,16,92843,Electric
2015,Sacramento,Electric,Mercedes-Benz,B-Class,10,92845,Electric
2015,Sacramento,Electric,Nissan,Leaf,174,92860,Electric
