Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Monterey,BEV,Tesla,Model S,59,92119,BEV
2015,Monterey,BEV,Volkswagen,e-Golf,2,92120,BEV
2015,Monterey,PHEV,BMW,i3 REx,17,92121,BEV
2015,Monterey,PHEV,BMW,i8,4,92122,BEV
2015,Monterey,PHEV,BMW,X5,4,92123,BEV
2015,Monterey,PHEV,Cadillac,ELR,1,92124,BEV
2015,Monterey,PHEV,Chevrolet,Volt,34,92126,BEV
2015,Monterey,PHEV,Ford,C-MAX Energi,20,92127,BEV
2015,Monterey,PHEV,Ford,Fusion Energi,16,92128,BEV
2015,Monterey,PHEV,Porsche,Cayenne,2,92129,BEV
2015,Monterey,PHEV,Porsche,Panamera,1,92130,BEV
2015,Monterey,PHEV,Toyota,Prius PHEV,16,92131,BEV
2015,Napa,BEV,BMW,i3,5,92154,BEV
2015,Napa,BEV,Chevrolet,Spark EV,7,92203,BEV
2015,Napa,BEV,FIAT,500e,24,92211,BEV
2015,Napa,BEV,Ford,Focus,6,92220,BEV
2015,Napa,BEV,Kia,Soul EV,1,92223,BEV
2015,Napa,BEV,Mercedes-Benz,B-Class,3,92227,BEV
2015,Napa,BEV,Nissan,Leaf,15,92234,BEV
2015,Napa,BEV,Tesla,Model S,73,92252,BEV
2015,Napa,BEV,Volkswagen,e-Golf,3,92253,BEV
2015,Napa,PHEV,BMW,i3 REx,10,92260,BEV
2015,Napa,PHEV,BMW,i8,1,92262,BEV
2015,Napa,PHEV,BMW,X5,2,92264,BEV
2015,Napa,PHEV,Cadillac,ELR,2,92270,BEV
2015,Napa,PHEV,Chevrolet,Volt,22,92277,BEV
2015,Napa,PHEV,Ford,C-MAX Energi,9,92307,BEV
2015,Napa,PHEV,Ford,Fusion Energi,16,92313,BEV
2015,Napa,PHEV,Mercedes-Benz,S-Class,1,92322,BEV
2015,Napa,PHEV,Porsche,Cayenne,2,92324,BEV
2015,Napa,PHEV,Toyota,Prius PHEV,18,92335,BEV
2015,Nevada,BEV,BMW,i3,1,92336,BEV
2015,Nevada,BEV,Chevrolet,Spark EV,2,92339,BEV
2015,Nevada,BEV,FIAT,500e,4,92345,BEV
2015,Nevada,BEV,Nissan,Leaf,8,92346,BEV
2015,Nevada,BEV,Tesla,Model S,32,92350,BEV
2015,Nevada,BEV,Volkswagen,e-Golf,4,92373,BEV
2015,Nevada,PHEV,Chevrolet,Volt,8,92374,BEV
2015,Nevada,PHEV,Ford,C-MAX Energi,7,92376,BEV
2015,Nevada,PHEV,Ford,Fusion Energi,5,92377,BEV
2015,Nevada,PHEV,Honda,Accord PHEV,2,92392,BEV
2015,Nevada,PHEV,Toyota,Prius PHEV,6,92394,BEV
2015,Orange,BEV,BMW,i3,124,92395,BEV
2015,Orange,BEV,Chevrolet,Spark EV,162,92404,BEV
2015,Orange,BEV,FIAT,500e,983,92405,BEV
2015,Orange,BEV,Ford,Focus,88,92501,BEV
2015,Orange,BEV,Kia,Soul EV,95,92503,BEV
2015,Orange,BEV,Mercedes-Benz,B-Class,260,92504,BEV
2015,Orange,BEV,Mitsubishi,i-MiEV,7,92505,BEV
2015,Orange,BEV,Nissan,Leaf,336,92506,BEV
2015,Orange,BEV,Smart,Fortwo BEV Drive,69,92507,BEV
2015,Orange,BEV,Tesla,Model S,1549,92508,BEV
2015,Orange,BEV,Toyota,RAV4 EV,6,92530,BEV
2015,Orange,BEV,Volkswagen,e-Golf,190,92544,BEV
2015,Orange,PHEV,BMW,i3 REx,396,92557,BEV
2015,Orange,PHEV,BMW,i8,80,92562,BEV
2015,Orange,PHEV,BMW,X5,7,92563,BEV
2015,Orange,PHEV,Cadillac,ELR,34,92571,BEV
2015,Orange,PHEV,Chevrolet,Volt,915,92583,BEV
2015,Orange,PHEV,Fisker,Karma,4,92584,BEV
2015,Orange,PHEV,Ford,C-MAX Energi,456,92587,BEV
2015,Orange,PHEV,Ford,Fusion Energi,750,92592,BEV
2015,Orange,PHEV,Honda,Accord PHEV,16,92596,BEV
2015,Orange,PHEV,Hyundai,Sonata PHEV,12,92602,BEV
2015,Orange,PHEV,McLaren,P1,3,92603,BEV
2015,Orange,PHEV,Mercedes-Benz,S-Class,18,92604,BEV
2015,Orange,PHEV,Porsche,918 Spyder,17,92606,BEV
2015,Orange,PHEV,Porsche,Cayenne,33,92607,BEV
2015,Orange,PHEV,Porsche,Panamera,11,92610,BEV
2015,Orange,PHEV,Toyota,Prius PHEV,682,92612,BEV
2015,Orange,FCEV,Honda,FCX Clarity,2,92614,BEV
2015,Orange,FCEV,Hyundai,Tucson Fuel Cell,14,92617,BEV
2015,Orange,FCEV,Toyota,Mirai,10,92618,BEV
2015,Placer,BEV,BMW,i3,2,92620,BEV
2015,Placer,BEV,Chevrolet,Spark EV,34,92623,BEV
2015,Placer,BEV,FIAT,500e,61,92624,BEV
2015,Placer,BEV,Ford,Focus,14,92625,BEV
2015,Placer,BEV,Kia,Soul EV,2,92626,BEV
2015,Placer,BEV,Mercedes-Benz,B-Class,4,92627,BEV
2015,Placer,BEV,Nissan,Leaf,49,92629,BEV
2015,Placer,BEV,Smart,Fortwo BEV Drive,7,92630,BEV
2015,Placer,BEV,Tesla,Model S,99,92646,BEV
2015,Placer,BEV,Tesla,Model X,1,92647,BEV
2015,Placer,BEV,Toyota,RAV4 EV,2,92648,BEV
2015,Placer,BEV,Volkswagen,e-Golf,11,92649,BEV
